,ID,Linear,Ridge,SVR
A,A,10.536241094614788,8.346016175916187,7.907903327204818
E,E,28.830049133821703,33.21438532471046,62.46394034170313
G,G,27.12161677481597,23.658445936084398,24.942095763183833
H,H,24.871229363634416,5.276432876686829,5.722157552114101
I,I,8.078014156915465,8.101570642729333,8.146094897010121
J,J,24.625903849972065,23.39333082070064,29.040389158962256
K,K,12.883144366066908,12.260901735083792,14.796157502819037
L,L,22.57066085981534,10.542193724217707,11.446423657837622
M,M,12.55839839687369,9.46549369098939,8.798898763570092
N,N,12.555858978404789,11.991941521148936,11.792935610182584
O,O,5.6230324621246375,6.272570987836394,5.821414857232056
