,ID,LitEq,Linear,Ridge,SVR,NN
A,A,37.52778447,10.53624109,8.346016176,7.907903327,8.122707215
E,E,6.118767877,28.83004913,33.21438532,62.46394034,64.05010557
G,G,11.29049039,27.12161677,23.65844594,24.94209576,41.33068156
H,H,16.36811833,24.87122936,5.276432877,5.722157552,8.055718524
I,I,20.54333822,8.078014157,8.101570643,8.146094897,5.007210473
J,J,21.6872133,24.62590385,23.39333082,29.04038916,14.74951563
K,K,12.14967527,12.88314437,12.26090174,14.7961575,8.137532836
L,L,6.778161752,22.57066086,10.54219372,11.44642366,40.59882853
M,M,19.46452501,12.5583984,9.465493691,8.798898764,14.04842253
N,N,21.53141821,12.55585898,11.99194152,11.79293561,12.99122839
O,O,32.03016234,5.623032462,6.272570988,5.821414857,8.594582409
